CTYNAME,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015
Cumberland County,157155,157570,157677,156977,157099,155854
Essex County,784597,787006,787707,790935,794962,797434
Gloucester County,288701,289470,289719,289923,290898,291479
Hudson County,636317,648350,656840,663565,669502,674836
Hunterdon County,127342,127203,126495,126252,125810,125488
Mercer County,367959,367908,369171,370984,371601,371398
Middlesex County,811249,817516,824638,831107,837339,840900
Monmouth County,630677,629815,629075,629304,629018,628715
Morris County,492793,495750,497395,499072,499236,499509
Ocean County,577643,578931,580592,583090,585916,588721
Passaic County,502273,504193,505392,507456,509913,510916
Salem County,65998,66031,65656,65062,64670,64180
Somerset County,324170,326815,328674,331244,332634,333654
Sussex County,148815,148097,147048,145826,145004,143673
Union County,537770,540707,544840,549340,553049,555786
Warren County,108691,108145,107538,106721,106855,106869
New Mexico,2064741,2078226,2084792,2086890,2085567,2085109
Bernalillo County,664117,669492,672948,674942,675647,676685
Catron County,3734,3707,3643,3574,3534,3456
Chaves County,65746,65681,65786,65989,65837,65764
Cibola County,27313,27520,27329,27451,27282,27329
Colfax County,13735,13615,13226,13046,12684,12414
Curry County,48959,49688,50713,50631,51055,50398
De Baca County,2018,1969,1938,1889,1827,1828
Doña Ana County,210202,212982,214428,214051,214059,214295
Eddy County,53907,54047,54419,55577,56583,57578
Grant County,29398,29396,29331,29257,29002,28609
Guadalupe County,4693,4651,4613,4554,4443,4371
Harding County,687,709,696,686,677,698
Hidalgo County,4854,4844,4786,4614,4547,4423
Lea County,64625,65077,66258,68298,69930,71180
Lincoln County,20463,20393,20200,19980,19663,19420
Los Alamos County,18012,18178,18168,17848,17718,17785
Luna County,25109,25141,24997,24703,24586,24518
McKinley County,71753,73497,72709,73230,73846,76708
Mora County,4884,4784,4678,4668,4582,4596
Otero County,64354,65493,66002,65766,64966,64362
Quay County,9065,9080,8812,8683,8462,8455
Rio Arriba County,40307,40322,40246,40027,39686,39465
Roosevelt County,20014,20456,20340,19997,19626,19120
Sandoval County,132351,134215,135397,136528,137654,139394
San Juan County,130140,128016,128359,126564,123990,118737
San Miguel County,29401,29342,29028,28700,28303,27967
Santa Fe County,144462,145395,146326,147154,147977,148686
Sierra County,12023,12025,11878,11557,11332,11282
Socorro County,17809,17818,17524,17534,17340,17256
Taos County,32904,32944,32830,32992,33041,32907
Torrance County,16379,16409,16080,15703,15586,15485
Union County,4545,4432,4426,4368,4269,4201
Valencia County,76778,76908,76678,76329,75833,75737
New York,19402920,19523202,19606981,19691032,19748858,19795791
Albany County,304069,305010,306419,307776,308729,309381
Allegany County,48951,48825,48258,48026,47781,47462
Bronx County,1388264,1400221,1415240,1429123,1441757,1455444
Broome County,200382,199379,198779,198222,197516,196567
Cattaraugus County,80260,79851,79383,79016,78638,77922
Cayuga County,79858,79831,79653,79255,78836,78288
Chautauqua County,134750,134264,133424,132991,131773,130779
Chemung County,88969,88997,89277,88523,87469,87071
Chenango County,50344,50219,49872,49479,49333,48844
Clinton County,82068,81851,81863,81757,81702,81251
Columbia County,63020,62640,62551,62298,61979,61509
Cortland County,49265,49527,49187,49078,48929,48494
Delaware County,47886,47658,47322,46876,46597,46053
Dutchess County,297745,298274,297270,296963,296380,295754
Erie County,919077,919924,920431,921794,923193,922578
Essex County,39290,39479,39119,38853,38632,38478
Franklin County,51628,51572,51787,51249,51133,50660
Fulton County,55468,55273,55045,54546,54173,53992
Genesee County,60029,60004,59865,59387,59099,58937
Greene County,49118,48992,48672,48353,47919,47625
Hamilton County,4834,4831,4793,4758,4706,4712
Herkimer County,64444,64623,64552,64181,63715,63100
Jefferson County,116570,118172,120772,119192,118964,117635
Kings County,2510335,2544744,2573998,2600098,2620720,2636735
Lewis County,27062,27085,27254,27154,27172,26957
Livingston County,65241,64890,64869,64764,64763,64717
Madison County,73433,72974,72496,72559,72257,71849
Monroe County,744874,747615,748789,750414,750362,749600
Montgomery County,50284,49924,49827,49771,49729,49642
Nassau County,1341882,1347270,1350924,1354842,1358673,1361350
New York County,1588609,1609789,1624885,1631375,1636966,1644518
Niagara County,216489,215669,214767,214214,213449,212652
Oneida County,234837,234267,233991,233760,233272,232500
Onondaga County,467464,467824,467471,469101,468659,468463
Ontario County,108219,108759,108795,109262,109583,109561
Orange County,373428,374293,374026,374958,375994,377647
Orleans County,42847,42703,42469,42323,41944,41582
Oswego County,122132,122021,121572,121339,120835,120146
Otsego County,62203,61985,61826,61599,60948,60636
Putnam County,99795,99907,99644,99596,99252,99042
Queens County,2235573,2261144,2280072,2302881,2322450,2339150
Rensselaer County,159372,159731,159636,159784,160083,160266
Richmond County,469645,471102,470874,472570,473301,474558
Rockland County,312484,315807,317775,320498,323323,326037
St. Lawrence County,111822,112477,112595,112222,111753,111007
Saratoga County,220088,221165,222531,224221,224704,226249
Schenectady County,154896,154658,154885,154912,154919,154604
Schoharie County,32687,32658,32071,31849,31656,31330
Schuyler County,18310,18496,18576,18492,18301,18186
Seneca County,35245,35359,35381,35258,34890,34833
Steuben County,98991,99286,99094,98987,98326,97631
Suffolk County,1494878,1500649,1500001,1502288,1502342,1501587
Sullivan County,77433,77116,76956,76929,75770,74877
Tioga County,51074,51022,50378,50210,49930,49453
Tompkins County,101774,102120,103133,104367,104727,104926
Ulster County,182421,182676,181839,181054,180787,180143
Warren County,65684,65693,65421,65146,64954,64688
Washington County,63292,63083,63041,62744,62402,62230
Wayne County,93755,93267,93017,92434,91914,91446
Westchester County,950636,957270,961577,968826,972504,976396
Wyoming County,42088,41900,41738,41400,41179,41013
Yates County,25349,25387,25253,25135,25112,25048
North Carolina,9558979,9651025,9747021,9845432,9940387,10042802
Alamance County,151581,152947,153822,154886,156357,158276
Alexander County,37247,37118,36976,37006,37364,37325
Alleghany County,11145,11025,10927,10889,10878,10837
Anson County,26873,26517,26321,25958,26122,25759
Ashe County,27251,27172,27147,27131,27101,27020
Avery County,17730,17761,17619,17679,17726,17689
Beaufort County,47781,47692,47507,47440,47513,47651
Bertie County,21251,20971,20589,20427,20406,20199
Bladen County,35168,35001,34911,34830,34542,34318
Brunswick County,108181,110301,112255,115391,118919,122765
Buncombe County,238776,241345,244243,247618,250297,253178
Burke County,90687,90712,89995,89386,88807,88842
Cabarrus County,178649,181299,184409,187477,191929,196762
Caldwell County,82959,82261,81919,81890,81434,81287
Camden County,9983,10042,10032,10136,10286,10309
Carteret County,66697,67356,67729,68447,68730,68879
Caswell County,23686,23569,23172,23232,22956,22941
Catawba County,154303,154143,154499,154734,154618,155056
Chatham County,63781,65179,65772,66668,68609,70928
Cherokee County,27428,27138,26978,27078,27087,27178
Chowan County,14746,14811,14727,14734,14616,14394
Clay County,10582,10662,10667,10629,10618,10703
Cleveland County,97989,97558,97440,97006,97007,96879
Columbus County,57925,57811,57572,57136,56938,56694
Craven County,103939,104705,105327,104419,104350,103451
Cumberland County,320150,323865,323143,326354,325814,323838
Currituck County,23663,23900,24032,24340,24927,25263
Dare County,33986,34193,34463,34913,35083,35663
Davidson County,162884,163340,163516,163788,164067,164622
Davie County,41281,41344,41325,41490,41322,41753
Duplin County,58690,59395,59595,59499,59618,59159
Durham County,270878,276552,282614,288642,295323,300952
Edgecombe County,56607,56096,55735,55522,54898,54150
Forsyth County,351463,354510,357919,361379,365593,369019
Franklin County,60837,61109,61586,62272,62805,63710
Gaston County,206077,206943,208161,209450,211040,213442
Gates County,12160,12070,11911,11657,11550,11431
Graham County,8869,8789,8705,8737,8651,8616
Granville County,57652,57673,57782,58061,58357,58674
Greene County,21372,21675,21383,21199,21247,21134
Guilford County,489489,495126,501029,507100,512959,517600
Halifax County,54532,54248,53927,53387,53019,52456
Harnett County,115728,119189,122237,125168,126865,128140
Haywood County,58958,58703,58781,59120,59380,59868
Henderson County,106951,107514,108081,109404,110939,112655
Hertford County,24599,24493,24395,24389,24380,24184
Hoke County,47473,49472,50462,51125,51644,52671
Hyde County,5813,5830,5733,5715,5661,5526
Iredell County,159798,161111,162774,164756,166822,169866
Jackson County,40345,40204,40565,41030,40998,41265
Johnston County,169643,172791,174812,177758,180959,185660
Jones County,10078,10265,10277,10202,10074,10013
Lee County,57887,58552,59365,59927,59588,59660
Lenoir County,59450,59425,59142,58840,58399,58106
Lincoln County,78406,78539,78963,79475,79880,81035
McDowell County,45071,44957,44969,44936,44954,44989
Macon County,33941,33848,33836,33819,33889,34201
Madison County,20777,20825,20878,21125,21166,21139
Martin County,24460,24237,23892,23709,23448,23357
Mecklenburg County,923314,945108,968428,991904,1011928,1034070
Mitchell County,15535,15376,15375,15323,15330,15246
Montgomery County,27744,27862,27653,27531,27410,27548
Moore County,88607,89384,90347,91564,93066,94352
Nash County,95840,95711,95255,94475,94249,93919
New Hanover County,203298,205970,209219,213324,216585,220358
Northampton County,21996,21960,21303,20797,20567,20426
Onslow County,179595,177857,183769,185560,185267,186311
Orange County,134043,134759,137662,139287,140160,141354
Pamlico County,13103,13291,13033,12894,12909,12781
Pasquotank County,40721,40376,40517,39739,39628,39829
Pender County,52350,53292,53872,54968,56086,57611
Perquimans County,13483,13461,13536,13590,13462,13440
Person County,39421,39520,39173,39232,39125,39259
Pitt County,168822,170782,172924,174339,175103,175842
Polk County,20450,20292,20249,20390,20337,20366
Randolph County,141929,141830,142268,142336,142617,142799
Richmond County,46626,46606,46350,46137,45700,45437
Robeson County,134381,135029,135362,135033,134732,134197
Rockingham County,93650,93219,92718,91986,91821,91758
Rowan County,138315,137995,137841,138180,138648,139142
Rutherford County,67746,67368,67203,66825,66537,66390
Sampson County,63515,63659,63901,64071,64010,63724
Scotland County,36081,36317,36139,35978,35715,35509
Stanly County,60553,60471,60496,60619,60629,60714
Stokes County,47335,47192,46761,46588,46415,46351
Surry County,73693,73608,73524,72993,72980,72743
Swain County,13997,13999,14088,14010,14286,14434
Transylvania County,33065,32798,32815,32827,32991,33211
Tyrrell County,4413,4338,4137,4099,4118,4070
Union County,202117,205060,208347,212623,218337,222742
Vance County,45302,45242,45053,44697,44587,44568
Wake County,906965,929334,952576,974717,999271,1024198
Warren County,20923,20927,20587,20445,20224,20155
Washington County,13163,12949,12717,12732,12558,12385
Watauga County,50981,51563,52050,52293,52388,52906
Wayne County,122892,124028,124516,124597,124502,124132
Wilkes County,69231,69195,69225,69007,68802,68502
Wilson County,81246,81430,81759,81607,81394,81714
Yadkin County,38436,38311,38115,38045,37798,37585
Yancey County,17796,17677,17615,17555,17586,17587
North Dakota,674530,685326,702265,723626,740040,756927
Adams County,2349,2304,2317,2367,2359,2359
Barnes County,11064,11108,11015,11147,11118,11099
Benson County,6675,6696,6768,6900,6854,6753
Billings County,771,839,917,894,910,936
Bottineau County,6426,6503,6582,6721,6649,6716
Bowman County,3143,3137,3210,3218,3244,3294
Burke County,1959,2049,2161,2286,2235,2308
Burleigh County,81729,83312,85815,88474,90521,92991
Cass County,150270,153115,157509,163089,167276,171512
Cavalier County,3982,3953,3942,3869,3858,3828
Dickey County,5285,5269,5249,5232,5123,5104
Divide County,2078,2141,2233,2315,2429,2450
Dunn County,3541,3752,3979,4170,4428,4646
Eddy County,2382,2351,2374,2393,2368,2365
Emmons County,3542,3524,3482,3481,3424,3402
Foster County,3344,3352,3391,3370,3362,3356
Golden Valley County,1683,1750,1803,1817,1828,1845
Grand Forks County,66984,66647,67709,69362,70262,70916
Grant County,2389,2355,2337,2372,2358,2388
Griggs County,2411,2372,2355,2291,2312,2314
Hettinger County,2475,2525,2555,2665,2656,2704
Kidder County,2439,2446,2435,2426,2424,2417
LaMoure County,4123,4115,4097,4118,4111,4125
Logan County,1999,1970,1936,1935,1950,1935
McHenry County,5397,5484,5779,5894,5955,5968
McIntosh County,2796,2763,2757,2751,2763,2759
McKenzie County,6399,7015,7969,9269,10995,12826
McLean County,8992,9081,9372,9472,9587,9744
Mercer County,8425,8435,8504,8609,8763,8853
Morton County,27577,27725,28042,29016,29833,30310
Mountrail County,7720,8105,8741,9338,9749,10331
Nelson County,3120,3066,3082,3075,3042,2968
Oliver County,1836,1847,1835,1867,1848,1846
Pembina County,7399,7383,7261,7164,7129,7091
Pierce County,4352,4379,4458,4440,4386,4312
Ramsey County,11450,11509,11559,11551,11583,11630
Ransom County,5429,5418,5474,5490,5437,5448
Renville County,2476,2494,2552,2615,2578,2571
Richland County,16330,16266,16217,16302,16396,16402
Rolette County,14003,14150,14365,14654,14673,14649
Sargent County,3804,3803,3894,3875,3922,3876
Sheridan County,1314,1313,1273,1317,1323,1310
Sioux County,4151,4253,4355,4455,4466,4370
Slope County,729,724,762,760,767,767
Stark County,24352,25165,26931,28399,30490,32154
Steele County,1976,2032,1995,1960,1953,1956
Stutsman County,21125,21000,20978,21124,21174,21103
Towner County,2235,2291,2319,2289,2298,2272
Traill County,8111,8048,8065,8196,8063,8014
Walsh County,11090,11030,11049,11092,10959,10897
Ward County,62113,64343,65534,67992,69536,71275
Wells County,4199,4218,4262,4187,4184,4168
Williams County,22587,24401,26710,29561,32129,35294
Ohio,11540766,11545442,11551783,11572232,11596998,11613423
Adams County,28557,28511,28354,28132,28124,28024
Allen County,106405,105963,105329,105216,105048,104425
Ashland County,53320,53285,53238,53122,53085,53213
Ashtabula County,101400,101099,100268,99750,99138,98632
Athens County,65223,65112,64641,64511,64722,65886
Auglaize County,45934,45819,45875,45907,45890,45876
Belmont County,70318,70065,69638,69527,69414,69154
Brown County,44883,44675,44399,44243,44078,43839
Butler County,369064,370199,370802,371387,373948,376353
Carroll County,28825,28894,28583,28307,28209,27811
Champaign County,40059,39873,39578,39451,39078,38987
Clark County,138246,137760,137193,136740,136482,135959
Clermont County,197705,198615,199242,200219,201375,201973
Clinton County,41903,41915,41844,41902,41880,41917
Columbiana County,107863,107265,106441,105827,105597,104806
Coshocton County,36928,36919,36821,36745,36568,36569
Crawford County,43769,43297,42827,42754,42439,42306
Cuyahoga County,1278226,1269820,1265798,1263796,1260610,1255921
Darke County,52962,52671,52498,52322,52215,52076
Defiance County,39112,39036,38832,38573,38551,38352
Delaware County,175146,178544,181127,185246,189237,193013
Erie County,77034,76682,76464,76148,75860,75550
Fairfield County,146385,147333,147490,148897,150432,151408
Fayette County,29017,28898,28837,28743,28690,28679
Franklin County,1166296,1180069,1197690,1215200,1234126,1251722
Fulton County,42616,42481,42461,42355,42591,42537
Gallia County,31085,30984,30823,30548,30326,30142
Geauga County,93418,93374,93859,93935,94099,94102
Greene County,161608,163620,164389,163865,164660,164427
Guernsey County,40136,39857,39826,39608,39582,39258
Hamilton County,802270,800642,802316,804083,806332,807598
Hancock County,74680,75056,75597,75653,75263,75573
Hardin County,32099,31821,31638,31750,31791,31682
Harrison County,15849,15803,15710,15634,15567,15450
Henry County,28115,28223,28073,28078,27887,27816
Highland County,43598,43430,43023,43258,43115,43026
Hocking County,29470,29475,29299,28607,28700,28491
Holmes County,42470,42777,43094,43599,43801,43909
Huron County,59578,59408,59262,58860,58685,58469
Jackson County,33273,33149,32905,32834,32784,32596
Jefferson County,69612,68882,68338,67993,67703,67347
Knox County,61086,61307,60805,60834,61013,61061
Lake County,230004,229775,229338,229605,229220,229245
Lawrence County,62420,62380,62118,61928,61601,61109
Licking County,166719,167241,167727,168521,169407,170570
Logan County,45770,45616,45447,45462,45509,45386
Lorain County,301471,301924,301652,302851,304187,305147
Lucas County,441575,439620,437131,436249,434615,433689
Madison County,43395,43060,42949,43238,43937,44094
Mahoning County,238398,237323,235845,234384,233298,231900
Marion County,66452,66543,66236,65908,65674,65355
Medina County,172542,173456,173674,174667,175963,176395
Meigs County,23733,23704,23605,23475,23326,23257
Mercer County,40782,40809,40841,40772,40926,40968
Miami County,102479,102846,103125,103421,103970,104224
Monroe County,14579,14719,14574,14581,14453,14409
Montgomery County,536216,534923,534782,534336,532515,532258
Morgan County,15064,15088,14959,14947,14792,14777
Morrow County,34815,34905,34968,34970,35064,35074
Muskingum County,86207,86228,85873,85742,85946,86290
Noble County,14634,14700,14578,14561,14377,14326
Ottawa County,41392,41414,41339,41106,41072,40877
Paulding County,19575,19400,19278,19176,18996,18976
Perry County,36048,36233,36009,35987,35910,35985
Pickaway County,55745,55997,56361,56435,56782,56998
Pike County,28738,28628,28490,28368,28276,28217
Portage County,161448,161899,161482,161593,162235,162275
Preble County,42171,42007,41856,41697,41521,41329
Putnam County,34459,34392,34188,34090,34206,34042
Richland County,124173,123076,122600,122263,121914,121707
Ross County,78101,77605,77453,77325,77115,77170
Sandusky County,60874,60605,60519,60127,60004,59679
Scioto County,79528,79233,78605,78094,77326,76825
Seneca County,56630,56432,56037,55814,55751,55610
Shelby County,49313,49244,49125,49121,48942,48901
Stark County,375461,374292,374807,374992,375638,375165
Summit County,541671,541281,541192,542195,542600,541968
Trumbull County,209854,208952,207399,206508,205255,203751
Tuscarawas County,92555,92518,92501,92778,92774,92916
Union County,52420,53116,52832,53410,53713,54277
Van Wert County,28665,28694,28718,28465,28442,28562
Vinton County,13421,13401,13235,13288,13197,13048
Warren County,213524,215804,217749,219743,221816,224469
Washington County,61708,61560,61509,61403,61172,61112
Wayne County,114439,114667,115063,115319,115742,116063
Williams County,37526,37586,37547,37453,37222,37120
Wood County,125940,127279,128642,129197,129575,129730
Wyandot County,22589,22659,22598,22508,22327,22243
Oklahoma,3759596,3786626,3817679,3853405,3879610,3911338
Adair County,22731,22527,22258,22238,22153,22004
Alfalfa County,5632,5641,5647,5824,5793,5868
Atoka County,14161,14113,13974,13804,13848,13793
Beaver County,5638,5630,5582,5528,5483,5427
Beckham County,22055,22326,23128,23545,23733,23768
Blaine County,9899,9701,9821,9801,9896,9833
Bryan County,42627,43136,43441,44151,44403,44884
Caddo County,29674,29604,29667,29487,29372,29343
Canadian County,116339,119458,122564,126086,129478,133378
Carter County,47789,48074,48098,48593,48756,48689
Cherokee County,47121,47744,48062,47928,48302,48447
Choctaw County,15227,15239,15164,15058,15143,14997
Cimarron County,2457,2481,2394,2326,2288,2216
Cleveland County,256920,261971,266293,270161,270189,274458
Coal County,5894,5932,5906,5795,5777,5651
Comanche County,125389,126072,126609,125100,125225,124648
Cotton County,6174,6154,6145,6140,6127,5996
Craig County,15060,14936,14723,14659,14577,14818
Creek County,70204,70662,70866,70729,70657,70892
Custer County,27489,27727,28525,29306,29587,29744
Delaware County,41543,41374,41383,41379,41448,41459
Dewey County,4823,4760,4785,4825,4948,4995
Ellis County,4149,4041,4071,4131,4129,4231
Garfield County,60758,60706,61303,62407,62977,63569
Garvin County,27554,27374,27274,27342,27531,27755
Grady County,52480,52763,53060,53673,53915,54648
Grant County,4535,4546,4508,4514,4496,4523
Greer County,6205,6151,6059,6156,6149,6070
Harmon County,2917,2933,2910,2882,2815,2788
Harper County,3694,3708,3694,3833,3840,3754
Haskell County,12740,12712,12867,12936,12888,12845
Hughes County,14020,13854,13793,13737,13808,13735
Jackson County,26467,26406,26245,26173,25881,25574
Jefferson County,6446,6437,6332,6338,6283,6276
Johnston County,10987,11073,10981,10990,11084,10980
Kay County,46428,45816,45691,45552,45510,45366
Kingfisher County,15056,15113,14999,15303,15509,15584
Kiowa County,9430,9405,9341,9349,9273,9144
Latimer County,11139,11115,10944,10692,10637,10483
Le Flore County,50475,50239,49958,49881,49810,49605
Lincoln County,34321,34321,34213,34316,34627,35042
Logan County,42067,43101,43675,44392,45301,45996
Love County,9431,9389,9569,9718,9767,9870
McClain County,34725,35152,35587,36491,37264,38066
McCurtain County,33179,33246,33226,33110,33087,33048
McIntosh County,20277,20304,20520,20466,20119,19990
Major County,7510,7621,7669,7683,7758,7771
Marshall County,15839,15892,15911,15954,16083,16232
Mayes County,41288,41284,41114,40895,40855,40887
Murray County,13508,13608,13629,13698,13794,13936
Muskogee County,71101,70726,70536,70245,69913,69699
Noble County,11566,11554,11512,11393,11519,11554
Nowata County,10513,10620,10586,10530,10498,10539
Okfuskee County,12220,12296,12294,12275,12194,12181
Oklahoma County,721098,730044,742726,755921,766845,776864
Okmulgee County,40118,39815,39617,39475,39137,39187
Osage County,47435,48331,48013,47966,48075,47887
Ottawa County,31840,31901,32219,32241,32083,31981
Pawnee County,16592,16786,16462,16477,16336,16436
Payne County,77444,77970,78509,79481,80305,80850
Pittsburg County,45762,45628,45107,44842,44619,44610
Pontotoc County,37600,37719,38036,38153,38174,38194
Pottawatomie County,69654,70145,70685,71171,71802,71875
Pushmataha County,11575,11393,11226,11200,11128,11183
Roger Mills County,3641,3803,3781,3746,3776,3788
Rogers County,87019,87735,88420,89129,89862,90802
Seminole County,25455,25489,25474,25472,25423,25548
Sequoyah County,42442,42021,41483,41313,41351,41153
Stephens County,45105,45127,44864,44959,44501,44581
Texas County,20800,21190,21501,22004,21757,21489
Tillman County,7989,7985,7786,7678,7613,7515
Tulsa County,605197,608701,614814,623488,630428,639242
Wagoner County,73413,74088,75018,75680,75612,76559
Washington County,51064,51522,51721,51569,51967,52021
Washita County,11610,11622,11655,11738,11570,11661
Woods County,8895,8765,8832,9000,9264,9304
Woodward County,19977,20078,20624,21184,21485,21559
Oregon,3837972,3868509,3899444,3928030,3971202,4028977
Baker County,16105,16059,15987,16125,16082,16005
Benton County,85565,86025,86441,86024,86414,87572
Clackamas County,376906,379670,383389,388111,394504,401515
Clatsop County,37086,37210,37353,37091,37425,37831
Columbia County,49352,49378,49225,49256,49488,49600
Coos County,63016,62814,62759,62557,62623,63121
Crook County,20899,20679,20651,20782,21039,21630
Curry County,22372,22453,22237,22254,22265,22483
Deschutes County,157839,159765,161749,165930,170398,175268
Douglas County,107662,107273,107127,106887,106998,107685
Gilliam County,1872,1949,1943,1941,1924,1859
Grant County,7458,7412,7324,7271,7190,7185
Harney County,7410,7375,7243,7167,7160,7200
Hood River County,22442,22431,22619,22702,22854,23137
Jackson County,203413,204761,206336,207998,210151,212567
Jefferson County,21688,21701,21789,21868,22283,22666
Josephine County,82868,82641,82791,83263,83606,84745
Klamath County,66332,66345,66090,65887,65520,66016
Lake County,7881,7919,7789,7830,7843,7829
Lane County,351966,353637,354610,355650,358506,362895
Lincoln County,45990,45854,46166,46291,46386,47038
Linn County,116890,118137,118359,118545,119269,120547
Malheur County,31348,30789,30608,30623,30349,30380
Marion County,315960,317896,319945,321914,325838,330700
Morrow County,11204,11197,11233,11243,11156,11190
Multnomah County,737320,748145,759181,766589,777880,790294
Polk County,75574,75966,76286,76694,77983,79391
Sherman County,1771,1732,1732,1711,1702,1680
Tillamook County,25256,25423,25338,25360,25378,25653
Umatilla County,76081,76723,76944,76845,76648,76531
Union County,25742,25887,25819,25539,25688,25790
Wallowa County,7022,6997,6813,6800,6817,6856
Wasco County,25270,25246,25470,25464,25507,25775
Washington County,531658,539860,547932,555661,563273,574326
Wheeler County,1447,1418,1424,1390,1372,1358
Yamhill County,99307,99742,100742,100767,101683,102659
Pennsylvania,12712014,12745202,12772789,12783536,12793767,12802503
Adams County,101472,101657,101572,101525,101787,102295
Allegheny County,1223933,1227677,1230881,1233814,1232896,1230459
Armstrong County,68860,68661,68376,68115,67693,67052
Beaver County,170611,170375,170271,170072,169338,168871
Bedford County,49715,49416,49376,49115,48939,48586
Berks County,411984,412715,413516,413965,414360,415271
Blair County,127051,127192,127015,126426,126016,125593
Bradford County,62615,63034,62829,62325,61673,61281
Bucks County,625473,626435,626194,626313,626608,627367
Butler County,184115,184761,185109,185370,186386,186818
Cambria County,143468,142584,141540,138835,137534,136411
Cameron County,5074,4993,4948,4888,4785,4732
Carbon County,65232,65129,64951,64713,64418,63960
Centre County,154253,154976,155839,158213,159506,160580
Chester County,499950,503702,506428,509624,513291,515939
Clarion County,39928,39875,39424,39044,39428,39498
Clearfield County,81582,81521,81497,81575,81126,80994
Clinton County,39245,39529,39748,39839,39511,39441
Columbia County,67362,66930,66906,67077,66969,66672
Crawford County,88690,88105,87668,87401,87057,86484
Cumberland County,235977,236912,239187,241163,243533,246338
Dauphin County,268260,269119,269984,271307,272078,272983
Delaware County,559053,559075,560869,561619,562957,563894
Elk County,31859,31805,31630,31424,31119,30872
Erie County,280774,281116,281076,280117,278936,278045
Fayette County,136473,136049,135490,134835,134255,133628
Forest County,7703,7738,7661,7579,7515,7410
Franklin County,149948,151037,151618,152181,152951,153638
Fulton County,14868,14778,14762,14684,14615,14629
Greene County,38605,38424,38070,37874,37805,37519
Huntingdon County,46013,46130,46038,45901,45791,45668
Indiana County,88850,88565,88229,88227,87487,86966
Jefferson County,45202,44936,44851,44954,44609,44430
Juniata County,24536,24916,24908,24780,24806,24737
Lackawanna County,214509,214581,214477,213759,212561,211917
Lancaster County,520357,523692,526879,530238,533645,536624
Lawrence County,90973,90326,89736,89150,88514,88082
Lebanon County,133673,134483,135528,135607,136196,137067
Lehigh County,350185,353654,355336,355817,358286,360685
Luzerne County,320998,321153,321493,320041,319337,318449
Lycoming County,116204,116697,117314,116717,116503,116048
McKean County,43360,43199,43245,42855,42708,42412
Mercer County,116626,116239,115818,115354,114957,114234
Mifflin County,46655,46791,46837,46714,46535,46500
Monroe County,169906,169876,168579,167310,167242,166397
Montgomery County,801063,805575,809701,813704,816608,819264
Montour County,18307,18368,18489,18516,18609,18557
Northampton County,298049,298291,299290,299515,300172,300813
Northumberland County,94349,94458,94519,94037,93770,93246
Perry County,46002,45864,45742,45571,45523,45685
Philadelphia County,1528338,1539087,1550584,1556686,1561562,1567442
Pike County,57332,57526,56797,56651,56238,55949
Potter County,17469,17453,17621,17499,17220,17093
Schuylkill County,148213,147616,147297,146752,145546,144590
Snyder County,39745,39659,39795,40079,40255,40444
Somerset County,77759,77387,77193,76757,76226,75522
Sullivan County,6410,6453,6453,6337,6336,6328
Susquehanna County,43403,43131,42783,42316,41947,41666
Tioga County,42029,42422,42621,42423,42078,41877
Union County,44973,45061,45135,44730,44908,44954
Venango County,54964,54724,54250,53933,53503,53119
Warren County,41755,41495,41238,40962,40720,40396
Washington County,207877,208073,208436,208184,208175,208261
Wayne County,52903,52237,51699,51640,51436,51198
Westmoreland County,365119,364566,363252,361128,359353,357956
Wyoming County,28236,28296,28358,28139,28143,27800
York County,435539,436902,437833,439521,441177,442867
Rhode Island,1053219,1051856,1052393,1052856,1054907,1056298
Bristol County,49864,49273,49223,49254,49047,49084
Kent County,166038,165308,164867,164856,164957,164801
Newport County,83142,83005,82918,82523,82448,82423
Providence County,627090,627784,629199,629816,632025,633473
Washington County,127085,126486,126186,126407,126430,126517
South Carolina,4635894,4672733,4721341,4768498,4829160,4896146
Abbeville County,25338,25105,25051,24973,24926,24932
Aiken County,160551,161816,163274,164082,164537,165829
Allendale County,10344,10251,9995,9818,9693,9433
Anderson County,187262,188531,189342,190674,192836,194692
Bamberg County,15969,15867,15793,15430,15191,14880
Barnwell County,22610,22402,22289,22139,21935,21725
Beaufort County,162912,163957,167444,170991,175118,179589
Berkeley County,178923,183680,189518,193872,198209,202786
Calhoun County,15107,15172,14921,15050,14868,14781
Charleston County,351071,357512,365121,372289,380338,389262
Cherokee County,55529,55604,55692,55786,56039,56194
Chester County,33123,32847,32660,32658,32349,32267
Chesterfield County,46619,46593,46096,46143,46109,46017
Clarendon County,34944,34643,34251,34168,34051,33775
Colleton County,38909,38484,38227,37802,37776,37731
Darlington County,68602,68238,68147,67910,67768,67548
Dillon County,32103,31761,31515,31384,31279,31234
Dorchester County,137502,140028,142401,145244,148422,152478
Edgefield County,26959,26740,26342,26277,26457,26514
Fairfield County,23840,23583,23273,23049,22890,22747
Florence County,137081,137476,138009,138276,138988,138900
Georgetown County,60135,60155,60234,60444,60727,61298
Greenville County,452792,459193,466810,474070,482577,491863
Greenwood County,69731,69820,69901,69754,69544,69838
Hampton County,21052,20777,20727,20389,20422,20049
Horry County,270516,275390,281751,289050,298258,309199
Jasper County,24920,25406,25918,26580,27019,27824
Kershaw County,61681,62042,62242,62577,63147,63603
